name,team,current_rank
Tyus Jones,DEN,203
Al Horford,GSW,204
Khaman Maluach,PHO,205
Ajay Mitchell,OKC,206
Maxime Raynaud,SAC,207
Jaylon Tyson,CLE,208
Luguentz Dort,ATL,209
Collin Murray-Boyles,TOR,210
Cam Whitmore,DEN,211
Alex Caruso,OKC,212
Chris Paul,FA,213
Moussa Diabate,CHA,214
Obi Toppin,IND,215
Marcus Smart,HOU,216
Clint Capela,HOU,217
Collin Gillespie,PHO,218
Kevin Huerter,DET,219
Cole Anthony,FA,220
Harrison Barnes,SAS,221
Jaylen Wells,MEM,222
Mike Conley,BOS,223
Yaxel Lendeborg,GSW,224
Gary Trent Jr.,MIL,225
Sandro Mamukelashvili,LAL,226
Mikel Brown Jr.,FA,227
Gradey Dick,LAC,228
Bobi Klintman,FA,229
Cam Spencer,MEM,230
Jake LaRavia,LAL,231
Marvin Bagley III,DEN,232
Bogdan Bogdanovic,HOU,233
Mitchell Robinson,BOS,234
Isaiah Stewart,MEM,235
Zach Collins,CHI,236
Nick Richards,MIA,237
Isaiah Jackson,LAC,238
Trayce Jackson-Davis,TOR,239
Labaron Philon Jr.,PHI,240
Nique Clifford,SAC,241
Patrick Williams,CHI,242
Kelly Olynyk,FA,243
Jalen Smith,CHI,244
Duncan Robinson,DET,245
Kris Dunn,LAC,246
De'Anthony Melton,GSW,247
Terry Rozier,FA,248
Kentavious Caldwell-Pope,PHI,249
Precious Achiuwa,SAC,250
Chris Livingston,FA,251
Terance Mann,BKN,252
Miles McBride,NYK,253
Jacob Toppin,FA,254
Sam Hauser,BOS,255
Jamal Shead,TOR,256
Noah Clowney,BKN,257
Grant Williams,CHA,258
Brice Sensabaugh,UTH,259
Tolu Smith III,DET,260
Malcolm Brogdon,FA,261
Julian Champagnie,SAS,262
Taylor Hendricks,MEM,263
GG Jackson II,MEM,264
Keaton Wagler,LAC,265
Jaylin Williams,OKC,266
Allen Graves,TOR,267
Oso Ighodaro,PHO,268
Robert Williams III,POR,269
Andre Drummond,NYK,270
Corey Kispert,ATL,271
Jay Huff,IND,272
Brandon Clarke,MEM,273
Ryan Kalkbrenner,CHA,274
Bruce Brown Jr.,NYK,275
Colby Jones,FA,276
Will Riley,WAS,277
Jonathan Isaac,ORL,278
Terrence Shannon Jr.,FA,279
Vince Williams Jr.,FA,280
Ariel Hukporti,PHI,281
Kyle Anderson,TOR,282
Aaron Wiggins,ATL,283
Christian Anderson Jr.,CHA,284
Morez Johnson Jr.,FA,285
Bones Hyland,MIN,286
Keon Ellis,BKN,287
Ben Simmons,SAC,288
Spencer Dinwiddie,FA,289
Brayden Burries,MIL,290
Moritz Wagner,BKN,291
Caleb Martin,DAL,292
Moses Moody,GSW,293
Karim Lopez,MEM,294
Kingston Flemings,ATL,295
Taurean Prince,DET,296
Jose Alvarado,NYK,297
Rob Dillingham,CHI,298
Lonzo Ball,FA,299
Mason Plumlee,FA,300
Tim Hardaway Jr.,MIA,301
Javonte Cooke,FA,302
Tristan da Silva,ORL,303
Luke Travers,FA,304
Hannes Steinbach,CHA,305
Dorian Finney-Smith,CHA,306
Aday Mara,OKC,307
Ryan Dunn,PHO,308
